t,X1,X2,X3,X4,X5,X6,CPIinf
54,0.012493184,0.008661916,0.062233782,0.003601065,0.045262095,0.018260027,-0.014591213
55,-0.009553354,-0.015509909,-0.036773677,0.00013231,0.051981276,0.046184602,0.009055174
56,0.007152753,0.006770102,-0.016127695,0.00392415,0.037544076,0.254267828,-0.000366297
57,-0.00763029,0.000422764,0.002718173,-0.003822875,0.061654754,0.026127797,-0.006646874
58,-0.01553522,-0.019651091,0.006375705,-0.015880281,0.041243585,-0.061484675,0.006833704
59,-0.007771968,0.002690348,-0.020005836,-0.005067334,0.005774389,-0.030902723,-0.011342728
60,0.009742378,0.000263412,0.014538112,-0.000678921,0.028661302,-0.039951662,-0.007278792
61,-0.007728578,-0.00644164,0.010562875,-0.007667068,0.04697157,-0.080022236,0.005496086
62,0.003329779,0.010335166,-0.026634011,0.007006073,0.045645683,-0.015224696,0.002873587
63,-0.00333511,-0.003440744,0.007293685,-0.001671507,0.029080955,0.00172371,-0.014149357
64,-0.00066434,-0.0151875,0.001665724,-0.002667336,-0.008414781,-0.058964521,-0.002387167
65,0.003313116,0.008249264,0.007289293,0.002001336,-0.014681692,-0.035409477,0.010817086
66,0.005904921,0.003282636,-0.010271277,0.011618722,-0.028157066,-0.018670764,-0.001793653
67,-0.004646498,-0.003627996,0.015127597,-0.003729135,-0.028913553,-0.008346865,0.000236162
68,0.006123634,0.011372175,0.018981019,-0.000712068,-0.003298124,-0.009685176,0.004137058
69,-0.004276654,-0.010111892,-0.038150554,0.001239818,-0.003444862,-0.014172899,-0.004693509
70,-0.008996423,-0.004194457,0.014890868,-0.010030825,0.010973197,-0.012981134,-0.000725926
71,-0.000327601,0.000643788,-0.011390737,0.001613487,-0.021410704,-0.026551718,-7.43E-05
72,-5.67E-06,0.000646347,0.003787731,-0.0035575,-0.032870873,-0.072418516,0.000554809
73,0.003546236,0.005464622,-0.015569504,0.003881168,0.0015178,-0.010265877,-8.37E-05
74,-0.007762939,-0.010931491,0.00884772,-0.006497204,-0.035503028,-0.016140559,-0.002856825
75,0.012944598,0.016360286,0.020477653,0.009102748,-0.040162867,0.001137005,0.003944972
76,-0.02143225,-0.02857479,-0.014702187,-0.016672879,-0.026378269,-0.253653112,-0.004957396
77,-0.003570195,-0.001958496,0.005689865,-0.010603708,-0.034413653,-0.497625539,-0.01006577
78,0.014168141,0.017000294,0.021349413,0.018592154,-0.134912508,-0.059999857,0.010976183
79,0.008367323,0.010894809,-0.019719251,0.0077905,-0.031117113,0.077330654,0.000868724
80,0.007947728,0.000577639,-0.018960277,0.010090161,-0.021069284,0.201495179,0.005032692
81,0.004102567,0.001528853,0.028412978,0.000515448,-0.014160097,0.047951111,-0.000731093
82,-0.004414725,-0.003624857,-0.0189066,0.001800128,-0.013523217,0.075211449,-0.00070907
83,-0.006506591,-0.00673966,-0.001219352,-0.003100866,-0.041069758,-0.074259438,-0.001266272
84,0.000931917,0.002552722,0.009099198,-0.002041381,-0.000150573,-0.140713835,-0.001517827
85,0.010665539,0.005380275,-0.000337572,0.0090452,-0.020096034,0.01601986,0.003633273
